user_id,username,first_name,last_name,business_name,user_segment,region,city,registration_date,preferences
1,nz_ryan_22,Ryan,McDonald,NULL,Individual,Auckland,Auckland City,2002-03-31,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 1}"
2,capitalcars@yahoo.co.nz,NULL,NULL,Capital Cars,Power Seller,Auckland,Auckland City,2014-11-14,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Motors"", ""Property""], ""saved_searches"": 0}"
3,wiremu_21@outlook.com,Wiremu,White,NULL,Individual,Gisborne,Gisborne,2001-10-05,"{""notifications"": {""email"": false, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs""], ""saved_searches"": 2}"
4,nikau_713,Nikau,Brown,NULL,Individual,Manawatu-Wanganui,Whanganui,2017-12-07,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Motors""], ""saved_searches"": 0}"
5,nz_hannah_90,NULL,NULL,Turners Auctions,Business,Northland,Kaitaia,2015-04-30,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 5}"
6,tane.king6@icloud.com,Tane,King,NULL,Individual,Auckland,Manukau,2019-03-28,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Property""], ""saved_searches"": 3}"
7,henry_60@hotmail.com,Henry,Scott,NULL,Individual,Hawkes Bay,Hastings,2011-07-05,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs"", ""Motors""], ""saved_searches"": 1}"
8,kiwitrader824,Benjamin,Reid,NULL,Individual,Hawkes Bay,Havelock North,2019-05-03,"{""notifications"": {""email"": false, ""push"": false, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property"", ""Marketplace""], ""saved_searches"": 2}"
9,ryanw37,NULL,NULL,Auckland Auto Centre,Power Seller,Auckland,Franklin,2003-06-03,"{""notifications"": {""email"": false, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Motors"", ""Marketplace""], ""saved_searches"": 14}"
10,miat66,NULL,NULL,NZ Post Marketplace,Business,Southland,Te Anau,2010-02-01,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors""], ""saved_searches"": 4}"
11,ella.anderson@yahoo.co.nz,Ella,Anderson,NULL,Individual,Waikato,Taupo,2001-02-27,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property""], ""saved_searches"": 2}"
