user_id,username,first_name,last_name,business_name,user_segment,region,city,registration_date,preferences
1,thomas.jones3@gmail.com,Thomas,Jones,NULL,Individual,Nelson-Marlborough,Blenheim,2002-04-23,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs""], ""saved_searches"": 3}"
2,sophiej@hotmail.com,Sophie,Jones,NULL,Individual,Manawatu-Wanganui,Feilding,2005-06-27,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Jobs""], ""saved_searches"": 4}"
3,anikah@trademe.co.nz,Anika,Harris,NULL,Individual,Auckland,Waitakere,2015-12-26,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs""], ""saved_searches"": 3}"
4,kiwibuyer30,Henry,Jones,NULL,Individual,Taranaki,New Plymouth,2014-04-01,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 2}"
5,kiwiseller419,Noah,Reid,NULL,Individual,Canterbury,Selwyn,2003-06-10,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs"", ""Motors""], ""saved_searches"": 0}"
6,connor.taylor@outlook.com,Connor,Taylor,NULL,Individual,Waikato,Hamilton,2020-10-18,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors""], ""saved_searches"": 4}"
7,nz_kate_48,Kate,Wilson,NULL,Individual,Northland,Kaitaia,2017-03-13,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors""], ""saved_searches"": 2}"
8,ryan_398,Ryan,Anderson,NULL,Individual,Wellington,Wellington City,2016-07-08,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Property""], ""saved_searches"": 2}"
9,kiwiseller858,NULL,NULL,Wellington Motors Ltd,Business,Wellington,Kapiti Coast,2014-07-09,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property"", ""Motors""], ""saved_searches"": 6}"
10,nzmotorsgroup@proton.me,NULL,NULL,NZ Motors Group,Power Seller,Wellington,Upper Hutt,2005-02-13,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Motors""], ""saved_searches"": 7}"
11,charlotte_80@gmail.com,Charlotte,Smith,NULL,Individual,Wellington,Wellington City,2001-08-08,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property"", ""Motors""], ""saved_searches"": 5}"
12,matthew_35@outlook.com,Matthew,Henderson,NULL,Individual,Bay of Plenty,Whakatane,2003-01-13,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors""], ""saved_searches"": 3}"
13,jackt78,Jack,Taylor,NULL,Individual,Canterbury,Ashburton,2007-05-22,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Jobs""], ""saved_searches"": 1}"
14,hannah.wang@hotmail.com,Hannah,Wang,NULL,Individual,Canterbury,Christchurch,2026-06-02,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors"", ""Marketplace""], ""saved_searches"": 5}"
15,grace_250,Grace,White,NULL,Individual,Wellington,Wellington City,2008-02-24,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Property"", ""Jobs""], ""saved_searches"": 4}"
16,sarah.henare6@yahoo.co.nz,Sarah,Henare,NULL,Individual,Southland,Invercargill,2001-03-26,"{""notifications"": {""email"": true, ""push"": false, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Motors"", ""Marketplace""], ""saved_searches"": 3}"
17,century21@icloud.com,NULL,NULL,Century 21,Business,Wellington,Kapiti Coast,2021-01-15,"{""notifications"": {""email"": true, ""push"": false, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property""], ""saved_searches"": 15}"
18,daniel.mcdonald@hotmail.com,Daniel,McDonald,NULL,Individual,Southland,Invercargill,2010-01-03,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 5}"
